filename,width,height,class,xmin,ymin,xmax,ymax
000.jpg,2560,1920,normal_cell,54,537,135,595
000.jpg,2560,1920,normal_cell,1741,725,1800,782
000.jpg,2560,1920,normal_cell,1201,1519,1265,1578
000.jpg,2560,1920,normal_cell,71,359,128,419
000.jpg,2560,1920,normal_cell,14,10,67,76
000.jpg,2560,1920,normal_cell,740,4,791,55
000.jpg,2560,1920,normal_cell,816,4,871,53
000.jpg,2560,1920,normal_cell,1210,88,1265,196
000.jpg,2560,1920,normal_cell,1460,437,1543,514
000.jpg,2560,1920,normal_cell,1492,650,1544,691
000.jpg,2560,1920,normal_cell,1569,648,1617,692
000.jpg,2560,1920,normal_cell,1641,635,1699,693
000.jpg,2560,1920,normal_cell,1444,816,1505,862
000.jpg,2560,1920,normal_cell,1565,796,1630,849
000.jpg,2560,1920,normal_cell,1661,965,1720,1023
000.jpg,2560,1920,normal_cell,1874,883,1935,937
000.jpg,2560,1920,normal_cell,2183,704,2228,745
000.jpg,2560,1920,normal_cell,2146,467,2176,547
000.jpg,2560,1920,normal_cell,2181,529,2216,559
000.jpg,2560,1920,normal_cell,2178,572,2213,602
000.jpg,2560,1920,normal_cell,2132,1096,2181,1155
000.jpg,2560,1920,normal_cell,2195,1123,2258,1160
000.jpg,2560,1920,normal_cell,2283,1025,2340,1094
000.jpg,2560,1920,normal_cell,2479,1080,2550,1119
000.jpg,2560,1920,normal_cell,2175,1343,2234,1392
000.jpg,2560,1920,normal_cell,1975,1337,2003,1388
000.jpg,2560,1920,normal_cell,1692,1239,1751,1307
000.jpg,2560,1920,normal_cell,1767,1484,1814,1521
000.jpg,2560,1920,normal_cell,1581,1521,1624,1559
000.jpg,2560,1920,normal_cell,1454,1414,1495,1449
000.jpg,2560,1920,normal_cell,1426,1547,1477,1600
000.jpg,2560,1920,normal_cell,1928,316,1962,367
000.jpg,2560,1920,normal_cell,648,337,721,395
000.jpg,2560,1920,normal_cell,355,883,390,951
000.jpg,2560,1920,normal_cell,417,915,464,965
000.jpg,2560,1920,normal_cell,364,1217,405,1272
000.jpg,2560,1920,normal_cell,631,1341,685,1372
000.jpg,2560,1920,normal_cell,1002,1274,1063,1329
000.jpg,2560,1920,normal_cell,521,1528,582,1589
000.jpg,2560,1920,normal_cell,453,1683,498,1728
000.jpg,2560,1920,normal_cell,1016,799,1063,842
000.jpg,2560,1920,normal_cell,1215,727,1246,771
000.jpg,2560,1920,normal_cell,1209,778,1272,839
000.jpg,2560,1920,normal_cell,77,1163,121,1220
